Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
LIC MF Infra Fund(G)-Direct Plan,Sector Funds,Yogesh Patil,INF767K01GW5,20%,95,1.47%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 20%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
UTI India Consumer Fund(G)-Direct Plan,Sector Funds,Vishal Chopda,INF789F01VF3,60%,468,1.94%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 60%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Canara Rob Infrastructure Fund(G)-Direct Plan,Sector Funds,Vishal Mishra,INF760K01FO9,40%,252,1.33%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Invesco India Infrastructure Fund(G)-Direct Plan,Sector Funds,Amit Nigam,INF205K01MD4,29%,451,1.08%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 29%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Bank of India Mfg & Infra Fund(G)-Direct Plan,Sector Funds,Nitin Gosar,INF761K01702,0%,88,1.06%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Sundaram Services Fund(G)-Direct Plan,Sector Funds,Rohit Seksaria,INF903JA1FA2,31%,2414,0.88%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 30%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata Resources & Energy Fund(G)-Direct Plan,Sector Funds,Satish Chandra Mishra,INF277K015B9,75%,249,0.91%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 75%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Aditya Birla SL Pharma & Healthcare Fund(G)-Direct Plan,Sector Funds,Dhaval Shah,INF209KB1O25,44%,485,1.04%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 44%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Baroda BNP Paribas India Consumption Fund(G)-Direct Plan,Sector Funds,Shiv Chanani,INF251K01PT7,75%,946,0.79%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 75%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
DSP Healthcare Fund(G)-Direct Plan,Sector Funds,Chirag Dagli,INF740KA1LG1,66%,1265,0.80%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 65%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
HDFC Banking & Financial Services Fund(G)-Direct Plan,Sector Funds,Anand Laddha,INF179KC1BG0,72%,2672,0.49%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 72%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
ICICI Pru Bharat Consumption Fund(G)-Direct Plan,Sector Funds,Sankaran Naren,INF109KC1YD4,57%,1829,1.51%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 56%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Nifty Pharma Index Fund(G)-Direct Plan,Sector Funds,Kayzad Eghlim,INF109KC11M9,21%,1829,1.51%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 20%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G)-Direct Plan,Sector Funds,Dharmesh Kakkad,INF109KC1GH2,50%,2604,1.21%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
IDBI Banking & Financial Services Fund-Reg(G)-Direct Plan,Sector Funds,Alok Ranjan,INF397L01KM2,33%,90,1.50%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
IDBI Healthcare Fund(G)-Direct Plan,Sector Funds,Alok Ranjan,INF397L01LK4,33%,58,1.24%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ITI Banking & Financial Services Fund(G)-Direct Plan,Sector Funds,Dhimant Shah,INF00XX01BU6,38%,227,0.38%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 37%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ITI Pharma & Healthcare Fund(G)-Direct Plan,Sector Funds,Rohan Korde,INF00XX01BO9,56%,165,0.30%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 55%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
LIC MF Banking & Financial Services Fund(G)-Direct Plan,Sector Funds,Jaiprakash Toshniwal,INF767K01NK6,25%,97,1.54%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 25%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Mahindra Manulife Rural Bharat and Consumption Yojana-(G)-Direct Plan,Sector Funds,Abhinav Khandelwal,INF174V01663,20%,58,0.82%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 20%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Mirae Asset Banking and Financial Services Fund(G)-Direct Plan,Sector Funds,Gaurav Kochar,INF769K01GX9,100%,1278,0.61%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Mirae Asset Healthcare Fund(G)-Direct Plan,Sector Funds,Vrijesh Kasera,INF769K01ED6,33%,1725,0.50%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata Small Cap Fund(G)-Direct Plan,Small cap Fund,Chandraprakash Padiyar,INF277K011O1,67%,3032,0.27%,Ineligible,#N/A,#N/A,"Satisfactory - Fund Manager strike rate is 66%.
","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
UTI Small Cap Fund(G)-Direct Plan,Small cap Fund,Ankit Agarwal,INF789F1AUQ1,100%,2429,0.54%,Ineligible,#N/A,#N/A,"Very good - Fund Manager strike rate is 100%.
","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
Bank of India Small Cap Fund(G)-Direct Plan,Small cap Fund,Dhruv Bhatia,INF761K01EP7,0%,407,0.62%,Ineligible,#N/A,#N/A,"
0","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is%.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
Canara Rob Small Cap Fund(G)-Direct Plan,Small cap Fund,Ajay Khandelwal,INF760K01JC6,40%,4367,0.39%,Ineligible,#N/A,#N/A,"
0","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
Edelweiss Small Cap Fund(G)-Direct Plan,Small cap Fund,Sahil Shah,INF754K01JN6,50%,1428,0.48%,Ineligible,#N/A,#N/A,"
0","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
IDBI Small Cap Fund(G)-Direct Plan,Small cap Fund,Alok Ranjan,INF397L01JS1,33%,156,1.54%,Ineligible,#N/A,#N/A,"
0","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
IDFC Emerging Businesses Fund(G)-Direct Plan,Small cap Fund,Anoop Bhaskar,INF194KB1AL4,61%,1481,0.54%,Ineligible,#N/A,#N/A,"Satisfactory - Fund Manager strike rate is 61%.
","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
Invesco India Smallcap Fund(G)-Direct Plan,Small cap Fund,Taher Badshah,INF205K013T3,58%,1418,0.78%,Ineligible,#N/A,#N/A,"
0","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 57%.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
ITI Small Cap Fund(G)-Direct Plan,Small cap Fund,Dhimant Shah,INF00XX01747,38%,846,0.44%,Ineligible,#N/A,#N/A,"
0","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 37%.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
Mahindra Manulife Small Cap Fund(G)-Direct Plan,Small cap Fund,Abhinav Khandelwal,INF174V01BK7,20%,846,0.44%,Ineligible,#N/A,#N/A,"
0","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 20%.","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
PGIM India Small Cap Fund(G)-Direct Plan,Small cap Fund,Aniruddha Naha,INF663L01W06,73%,2193,0.23%,Ineligible,#N/A,#N/A,"Satisfactory - Fund Manager strike rate is 73%.
","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
","Investors who have experienced sharp market corrections
Those with patience to stay invested for 1 to 2 decades to reap benefits of smallcap funds.
Those who understand the high risk and reward involved","Those who panic and exit their investments during sharp corrections
"
Franklin Asian Equity Fund(G)-Direct Plan,Thematic Fund,Varun Sharma,INF090I01IZ5,67%,278,1.74%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Aditya Birla SL Intl. Equity Fund-B(G)-Direct Plan,Thematic Fund,Vinod Narayan Bhat,INF209K01WU9,41%,98,2.15%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 41%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Nippon India Quant Fund(G)-Direct Plan,Thematic Fund,Ashutosh Bhargava,INF204K01J34,50%,36,0.44%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Invesco India PSU Equity Fund(G)-Direct Plan,Thematic Fund,Dhimant Kothari,INF205K01NG5,13%,421,0.96%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 12%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
SBI Magnum Comma Fund(G)-Direct Plan,Thematic Fund,Richard Dsouza,INF200K01SB6,100%,469,2.04%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
SBI PSU Fund(G)-Direct Plan,Thematic Fund,Richard Dsouza,INF200K01UY4,100%,535,1.45%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Aditya Birla SL CEF-Global Agri(G)-Direct Plan,Thematic Fund,Vinod Narayan Bhat,INF209K01VL0,41%,17,1.29%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 41%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Aditya Birla SL Intl. Equity Fund-A(G)-Direct Plan,Thematic Fund,Vinod Narayan Bhat,INF209K01WS3,41%,108,1.75%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 41%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Aditya Birla SL ESG Fund(G)-Direct Plan,Thematic Fund,Satyabrata Mohanty,INF209KB1U76,67%,963,0.81%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Tata Business Cycle Fund(G)-Direct Plan,Thematic Fund,Rahul Singh (Tata),INF277KA1166,44%,974,0.54%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 44%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata Housing Opportunities Fund(G)-Direct Plan,Thematic Fund,Tejas Gutka,INF277KA1497,50%,382,0.68%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Tata Quant Fund(G)-Direct Plan,Thematic Fund,Sailesh Jain,INF277K013Y6,31%,42,0.79%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 30%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Aditya Birla SL Business Cycle Fund(G)-Direct Plan,Thematic Fund,Anil Shah,INF209KB14D2,67%,2443,0.29%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Aditya Birla SL PSU Equity Fund(G)-Direct Plan,Thematic Fund,Mahesh Patil,INF209KB1O82,67%,1021,0.76%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Aditya Birla SL Special Opp Fund(G)-Direct Plan,Thematic Fund,Anil Shah,INF209KB1T79,67%,675,1.15%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 66%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
Axis ESG Equity Fund(G)-Direct Plan,Thematic Fund,Jinesh Gopani,INF846K01W23,37%,1684,0.78%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 36%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Axis Quant Fund(G)-Direct Plan,Thematic Fund,Ashish Naik,INF846K01Z87,33%,1242,0.49%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Axis Special Situations Fund(G)-Direct Plan,Thematic Fund,Ashish Naik,INF846K01X71,33%,1683,0.61%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 33%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Baroda BNP Paribas Business Cycle Fund(G)-Direct Plan,Thematic Fund,Shiv Chanani,INF955L01KK1,75%,698,0.96%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 75%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
DSP Quant Fund(G)-Direct Plan,Thematic Fund,Anil Ghelani,INF740KA1NQ6,38%,1400,0.56%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 37%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
Edelweiss Recently Listed IPO Fund(G)-Direct Plan,Thematic Fund,Bhavesh Jain,INF754K01ML4,16%,959,0.94%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 15%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
HDFC Business Cycle Fund(G)-Direct Plan,Thematic Fund,Rahul Baijal,INF179KC1DY9,56%,2262,0.56%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 55%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Business Cycle Fund(G)-Direct Plan,Thematic Fund,Anish Tawakley,INF109KC1P24,50%,5130,0.65%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Commodities Fund(G)-Direct Plan,Thematic Fund,Lalit Kumar,INF109KC1F91,50%,738,1.09%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru ESG Fund(G)-Direct Plan,Thematic Fund,Mittul Kalawadia,INF109KC1O09,40%,1353,0.83%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Housing Opp Fund(G)-Direct Plan,Thematic Fund,Sankaran Naren,INF109KC10C2,57%,2664,0.36%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 56%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru India Opp Fund(G)-Direct Plan,Thematic Fund,Sankaran Naren,INF109KC1RH9,57%,7037,0.75%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 56%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Manufacturing Fund(G)-Direct Plan,Thematic Fund,Anish Tawakley,INF109KC1LJ8,50%,657,1.69%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru MNC Fund(G)-Direct Plan,Thematic Fund,Roshan Chutkey,INF109KC1D93,60%,1360,0.83%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 60%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
ICICI Pru NASDAQ 100 Index Fund(G)-Direct Plan,Thematic Fund,Sharmila Dmello,INF109KC1U50,71%,434,0.50%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 71%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
ICICI Pru PSU Equity Fund(G)-Direct Plan,Thematic Fund,Mittul Kalawadia,INF109KC12I5,40%,1309,0.74%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 40%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
ICICI Pru Quant Fund(G)-Direct Plan,Thematic Fund,Roshan Chutkey,INF109KC1O66,60%,65,0.59%,Ineligible,#N/A,#N/A,Satisfactory - Fund Manager strike rate is 60%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
ICICI Pru Transportation and Logistics Fund(G)-Direct Plan,Thematic Fund,Harish Bihani,INF109KC12K1,50%,2510,0.39%,Ineligible,#N/A,#N/A,,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Unsatisfactory - Fund Manger strike rate is 50%.","Those who have a high conviction of the performance of the particular sector in the near future or in the long run
","Those who are not willing to take the risk of investing in one particular sector or theme
"
IDFC Transportation and Logistics Fund(G)-Direct Plan,Thematic Fund,Daylynn Pinto,INF194KB1EB7,100%,246,0.74%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
IIFL Quant Fund(G)-Direct Plan,Thematic Fund,Parijat Garg,INF579M01AI2,100%,104,0.43%,Ineligible,#N/A,#N/A,Very good - Fund Manager strike rate is 100%.,"High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.",Those who have a high conviction of the performance of the particular sector in the near future or in the long run,Those who are not willing to take the risk of investing in one particular sector or theme
